2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1030                                          
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC 1030                                          
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;             6180;           0;                 0;               0;        6180;0,0                 ;6180,0              ;           0;           3;          3;Terminales                                        ;ALC 1035                                          
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC 1045                                          
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;            31773;           0;                 0;               0;       31773;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC 1052                                          
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC 3041                                          
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC 918                                           
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC 990                                           
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;              102;         391;                 1;             392;         494;117,6               ;148,2               ;           2;          10;          3;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;              292;        1134;               108;            1242;        1534;51,0                ;63,0                ;          27;          73;          3;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           1;                 0;               1;           2;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC Idol X                                        
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;            14084;           1;                 0;               1;       14085;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;             1197;        2448;                43;            2491;        3688;21,1                ;31,3                ;         122;         354;          3;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;                8;         134;                 0;             134;         142;-402,0              ;-426,0              ;           0;          -1;          3;Terminales                                        ;ALC Pixi 4007                                     
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;            21892;           0;                 0;               0;       21892;0,0                 ;65676,0             ;           0;           1;          3;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;              341;         212;                 1;             213;         554;319,5               ;831,0               ;           1;           2;          3;Terminales                                        ;ALC POP D1                                        
2015-11-18;         47;Alcatel                                           ;Smarthphones y Masivos;               28;           5;                 0;               5;          33;S.C.                ;S.C.                ;           0;           0;          3;Terminales                                        ;ALC T Pop                                         
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC 1030                                          
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;             6180;           0;                 0;               0;        6180;0,0                 ;8240,0              ;           0;           3;          4;Terminales                                        ;ALC 1035                                          
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC 1045                                          
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;            31773;           0;                 0;               0;       31773;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC 1052                                          
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC 3041                                          
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC 918                                           
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC 990                                           
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;              102;         387;                 1;             388;         490;129,3               ;163,3               ;           2;          12;          4;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;              252;        1138;               123;            1261;        1513;54,8                ;65,8                ;          19;          92;          4;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           1;                 0;               1;           2;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC Idol X                                        
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;            14084;           1;                 0;               1;       14085;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;             1197;        2348;                49;            2397;        3594;21,4                ;32,0                ;          95;         449;          4;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;                8;         134;                 0;             134;         142;-536,0              ;-568,0              ;           0;          -1;          4;Terminales                                        ;ALC Pixi 4007                                     
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;            21892;           0;                 0;               0;       21892;0,0                 ;87568,0             ;           0;           1;          4;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;              341;         212;                 1;             213;         554;426,0               ;1108,0              ;           0;           2;          4;Terminales                                        ;ALC POP D1                                        
2015-11-19;         47;Alcatel                                           ;Smarthphones y Masivos;               28;           5;                 0;               5;          33;S.C.                ;S.C.                ;           0;           0;          4;Terminales                                        ;ALC T Pop                                         
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           6;           9;          5;Terminales                                        ;ALC 1035                                          
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           3;          15;          5;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;          24;         116;          5;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;          77;         526;          5;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;          -1;          5;Terminales                                        ;ALC Pixi 4007                                     
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;           1;          5;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-20;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;           2;          5;Terminales                                        ;ALC POP D1                                        
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;           9;          6;Terminales                                        ;ALC 1035                                          
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           2;          17;          6;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           1;         117;          6;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;          25;         551;          6;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;          -1;          6;Terminales                                        ;ALC Pixi 4007                                     
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;           1;          6;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-21;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           0;                 0;               0;           0;0,0                 ;0,0                 ;           0;           2;          6;Terminales                                        ;ALC POP D1                                        
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC 1030                                          
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;             6180;           0;                 0;               0;        6180;0,0                 ;4806,7              ;           0;           9;          7;Terminales                                        ;ALC 1035                                          
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC 1045                                          
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;            31199;           0;                 0;               0;       31199;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC 1052                                          
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC 3041                                          
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC 918                                           
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC 990                                           
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;              102;         384;                 1;             385;         487;158,5               ;200,5               ;           0;          17;          7;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;              244;        1160;                79;            1239;        1483;74,1                ;88,7                ;           0;         117;          7;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           1;                 0;               1;           2;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC Idol X                                        
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;            14084;           1;                 0;               1;       14085;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;             1197;        2268;                24;            2292;        3489;28,9                ;43,9                ;           5;         556;          7;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;                8;         134;                 0;             134;         142;-938,0              ;-994,0              ;           0;          -1;          7;Terminales                                        ;ALC Pixi 4007                                     
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;            21892;           0;                 0;               0;       21892;0,0                 ;153244,0            ;           0;           1;          7;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;              341;         212;                 1;             213;         554;745,5               ;1939,0              ;           0;           2;          7;Terminales                                        ;ALC POP D1                                        
2015-11-22;         47;Alcatel                                           ;Smarthphones y Masivos;               28;           5;                 0;               5;          33;S.C.                ;S.C.                ;           0;           0;          7;Terminales                                        ;ALC T Pop                                         
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1030                                          
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;             3894;           0;                 0;               0;        3894;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1035                                          
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1045                                          
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;            30729;           0;                 0;               0;       30729;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1052                                          
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 3041                                          
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 918                                           
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 990                                           
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;              131;         380;                 2;             382;         513;191,0               ;256,5               ;           2;           2;          1;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;              242;        1144;                76;            1220;        1462;45,2                ;54,1                ;          27;          27;          1;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;                1;           1;                 0;               1;           2;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC Idol X                                        
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;            14084;           1;                 0;               1;       14085;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;             1199;        2168;                13;            2181;        3380;18,8                ;29,1                ;         116;         116;          1;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;                8;         134;                 0;             134;         142;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC Pixi 4007                                     
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;            20204;           0;                 0;               0;       20204;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;              385;         212;                 1;             213;         598;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC POP D1                                        
2015-11-23;         48;Alcatel                                           ;Smarthphones y Masivos;               28;           5;                 0;               5;          33;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC T Pop                                         
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1030                                          
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;             3894;           0;                 0;               0;        3894;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1035                                          
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1045                                          
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;            30729;           0;                 0;               0;       30729;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1052                                          
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 3041                                          
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 918                                           
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 990                                           
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;              131;         376;                 1;             377;         508;188,5               ;254,0               ;           2;           4;          2;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;              222;        1181;                41;            1222;        1444;56,8                ;67,2                ;          16;          43;          2;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;                1;           1;                 0;               1;           2;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC Idol X                                        
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;            14084;           1;                 0;               1;       14085;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;             1199;        2072;                11;            2083;        3282;22,4                ;35,3                ;          70;         186;          2;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;                8;         134;                 0;             134;         142;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC Pixi 4007                                     
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;            18484;           0;                 0;               0;       18484;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-24;         48;Alcatel                                           ;Smarthphones y Masivos;              385;         215;                 1;             216;         601;432,0               ;1202,0              ;           1;           1;          2;Terminales                                        ;ALC POP D1                                        
